Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%).1,Imports ($M),RtW (%).2,Net Exports ($M),Exports Ticker,Imports Ticker,country,year
Bahrain,2027.12,0.04,1876.8,0.07,150.32,0.01,1726.48,419D1924 Index,924D1419 Index,China,2018
Kyrgyzstan,1996.62,0.04,1942.29,0.07,54.33,0.0,1887.96,917D1924 Index,924D1917 Index,China,2018
Cote D Ivoire,1896.39,0.04,1641.72,0.06,254.67,0.01,1387.05,662D1924 Index,924D1662 Index,China,2018
Brunei Darussalam,1883.31,0.04,1636.27,0.06,247.04,0.01,1389.23,516D1924 Index,924D1516 Index,China,2018
Cuba,1870.61,0.04,1390.62,0.05,479.99,0.02,910.63,928D1924 Index,924D1928 Index,China,2018
El Salvador,1804.94,0.04,1640.41,0.06,164.53,0.01,1475.88,253D1924 Index,924D1253 Index,China,2018
Nepal,1760.08,0.04,1738.13,0.07,21.95,0.0,1716.18,558D1924 Index,924D1558 Index,China,2018
Azerbaijan,1579.15,0.03,1196.67,0.05,382.48,0.02,814.19,912D1924 Index,924D1912 Index,China,2018
Mozambique,1451.07,0.03,799.46,0.03,651.62,0.03,147.84,688D1924 Index,924D1688 Index,China,2018
Panama,1417.32,0.03,1335.46,0.05,81.86,0.0,1253.6,283D1924 Index,924D1283 Index,China,2018
New Caledonia,1353.19,0.03,247.31,0.01,1105.88,0.05,-858.57,839D1924 Index,924D1839 Index,China,2018
Lithuania,1351.88,0.03,1019.45,0.04,332.43,0.02,687.02,946D1924 Index,924D1946 Index,China,2018
Uganda,1231.33,0.03,1184.14,0.05,47.19,0.0,1136.95,746D1924 Index,924D1746 Index,China,2018
Afghanistan,1190.04,0.02,1165.93,0.04,24.11,0.0,1141.82,512D1924 Index,924D1512 Index,China,2018
Croatia,1176.22,0.02,964.31,0.04,211.92,0.01,752.39,960D1924 Index,924D1960 Index,China,2018
Mauritania,1103.9,0.02,242.24,0.01,861.66,0.04,-619.42,682D1924 Index,924D1682 Index,China,2018
Estonia,1060.1,0.02,814.25,0.03,245.86,0.01,568.39,939D1924 Index,924D1939 Index,China,2018
Honduras,1051.2,0.02,1002.41,0.04,48.79,0.0,953.62,268D1924 Index,924D1268 Index,China,2018
Madagascar,1036.93,0.02,822.71,0.03,214.22,0.01,608.5,674D1924 Index,924D1674 Index,China,2018
Zimbabwe,1036.23,0.02,145.41,0.01,890.82,0.04,-745.41,698D1924 Index,924D1698 Index,China,2018
Senegal,1003.12,0.02,874.75,0.03,128.38,0.01,746.37,722D1924 Index,924D1722 Index,China,2018
Mauritius,985.67,0.02,948.25,0.04,37.42,0.0,910.83,684D1924 Index,924D1684 Index,China,2018
Armenia,979.74,0.02,663.9,0.03,315.83,0.01,348.07,911D1924 Index,924D1911 Index,China,2018
Georgia,888.04,0.02,834.13,0.03,53.91,0.0,780.23,915D1924 Index,924D1915 Index,China,2018
Bosnia and Herzegovina,885.47,0.02,808.08,0.03,77.4,0.0,730.68,963D1924 Index,924D1963 Index,China,2018
Peoples Democratic Republic of Yemen,879.74,0.02,183.13,0.01,696.61,0.03,-513.48,474D1924 Index,924D1474 Index,China,2018
Luxembourg,846.71,0.02,534.52,0.02,312.2,0.01,222.32,137D1924 Index,924D1137 Index,China,2018
Iceland,834.57,0.02,668.82,0.03,165.75,0.01,503.07,176D1924 Index,924D1176 Index,China,2018
Latvia,792.95,0.02,580.15,0.02,212.8,0.01,367.34,941D1924 Index,924D1941 Index,China,2018
Solomon Islands,766.42,0.02,134.09,0.01,632.33,0.03,-498.25,813D1924 Index,924D1813 Index,China,2018
Mali,740.92,0.02,652.42,0.02,88.51,0.0,563.91,678D1924 Index,924D1678 Index,China,2018
Niger,738.99,0.02,567.88,0.02,171.11,0.01,396.77,692D1924 Index,924D1692 Index,China,2018
Nicaragua,727.17,0.02,621.42,0.02,105.74,0.0,515.68,278D1924 Index,924D1278 Index,China,2018
Somalia,695.5,0.01,678.95,0.03,16.55,0.0,662.4,726D1924 Index,924D1726 Index,China,2018
Tajikistan,670.85,0.01,594.15,0.02,76.7,0.0,517.45,923D1924 Index,924D1923 Index,China,2018
Albania,645.84,0.01,537.57,0.02,108.27,0.01,429.31,914D1924 Index,924D1914 Index,China,2018
Moldova,638.81,0.01,600.39,0.02,38.42,0.0,561.96,921D1924 Index,924D1921 Index,China,2018
Syria,621.26,0.01,620.39,0.02,0.87,0.0,619.52,463D1924 Index,924D1463 Index,China,2018
Burkina Faso,613.93,0.01,518.21,0.02,95.73,0.0,422.48,748D1924 Index,924D1748 Index,China,2018
Rwanda,604.86,0.01,564.89,0.02,39.96,0.0,524.93,714D1924 Index,924D1714 Index,China,2018
Malta,599.09,0.01,249.96,0.01,349.13,0.02,-99.17,181D1924 Index,924D1181 Index,China,2018
Haiti,588.11,0.01,580.46,0.02,7.65,0.0,572.81,263D1924 Index,924D1263 Index,China,2018
Macedonia,573.17,0.01,524.66,0.02,48.51,0.0,476.15,962D1924 Index,924D1962 Index,China,2018
Cyprus,513.22,0.01,459.23,0.02,54.0,0.0,405.23,423D1924 Index,924D1423 Index,China,2018
Maldives,494.8,0.01,488.14,0.02,6.66,0.0,481.47,556D1924 Index,924D1556 Index,China,2018
Togo,485.9,0.01,340.13,0.01,145.76,0.01,194.37,742D1924 Index,924D1742 Index,China,2018
Jamaica,473.21,0.01,397.83,0.02,75.38,0.0,322.45,343D1924 Index,924D1343 Index,China,2018
Fiji,469.14,0.01,443.83,0.02,25.31,0.0,418.52,819D1924 Index,924D1819 Index,China,2018
Malawi,414.19,0.01,386.83,0.01,27.36,0.0,359.48,676D1924 Index,924D1676 Index,China,2018
Sierra Leone,375.0,0.01,197.95,0.01,177.05,0.01,20.9,724D1924 Index,924D1724 Index,China,2018
Montenegro,346.13,0.01,303.94,0.01,42.19,0.0,261.75,943D1924 Index,924D1943 Index,China,2018
Liberia,335.86,0.01,246.78,0.01,89.08,0.0,157.7,668D1924 Index,924D1668 Index,China,2018
Benin,302.89,0.01,254.57,0.01,48.32,0.0,206.25,638D1924 Index,924D1638 Index,China,2018
Chad,291.96,0.01,196.7,0.01,95.26,0.0,101.44,628D1924 Index,924D1628 Index,China,2018
Guyana,262.87,0.01,219.78,0.01,43.08,0.0,176.7,336D1924 Index,924D1336 Index,China,2018
Faeroe Islands,256.53,0.01,130.52,0.0,126.01,0.01,4.51,816D1924 Index,924D1816 Index,China,2018
Greenland,252.04,0.01,20.12,0.0,231.92,0.01,-211.8,326D1924 Index,924D1326 Index,China,2018
Suriname,155.76,0.0,102.75,0.0,53.01,0.0,49.73,366D1924 Index,924D1366 Index,China,2018
Barbados,143.46,0.0,122.19,0.0,21.27,0.0,100.91,316D1924 Index,924D1316 Index,China,2018
Djibouti,132.34,0.0,132.13,0.01,0.21,0.0,131.93,611D1924 Index,924D1611 Index,China,2018
Belize,115.24,0.0,114.99,0.0,0.25,0.0,114.74,339D1924 Index,924D1339 Index,China,2018
Burundi,114.85,0.0,102.87,0.0,11.98,0.0,90.89,618D1924 Index,924D1618 Index,China,2018
Central African Rep.,99.61,0.0,45.42,0.0,54.19,0.0,-8.77,626D1924 Index,924D1626 Index,China,2018
Bahamas,92.67,0.0,79.79,0.0,12.88,0.0,66.91,313D1924 Index,924D1313 Index,China,2018
Bermuda,89.36,0.0,89.28,0.0,0.08,0.0,89.19,319D1924 Index,924D1319 Index,China,2018
Gambia,60.11,0.0,40.04,0.0,20.06,0.0,19.98,648D1924 Index,924D1648 Index,China,2018
Seychelles,56.99,0.0,56.96,0.0,0.03,0.0,56.94,718D1924 Index,924D1718 Index,China,2018
Cape Verde,47.54,0.0,47.25,0.0,0.29,0.0,46.96,624D1924 Index,924D1624 Index,China,2018
Samoa,43.66,0.0,43.15,0.0,0.51,0.0,42.64,862D1924 Index,924D1862 Index,China,2018
Vanuatu,38.93,0.0,23.3,0.0,15.63,0.0,7.67,846D1924 Index,924D1846 Index,China,2018
St. Lucia,35.26,0.0,35.21,0.0,0.06,0.0,35.15,362D1924 Index,924D1362 Index,China,2018
Aruba,35.1,0.0,35.07,0.0,0.03,0.0,35.03,314D1924 Index,924D1314 Index,China,2018
St. Vincent & Grens.,24.18,0.0,23.95,0.0,0.23,0.0,23.72,364I1924 Index,924D1364 Index,China,2018
Comoros,23.94,0.0,23.91,0.0,0.03,0.0,23.88,632D1924 Index,924D1632 Index,China,2018
Guinea-Bissau,21.34,0.0,13.7,0.0,7.64,0.0,6.06,654D1924 Index,924D1654 Index,China,2018
Tonga,21.2,0.0,21.08,0.0,0.12,0.0,20.96,866D1924 Index,924D1866 Index,China,2018
Grenada,16.81,0.0,16.8,0.0,0.0,0.0,16.8,328D1924 Index,924D1328 Index,China,2018
Sao Tome & Principe,8.69,0.0,8.64,0.0,0.05,0.0,8.59,716D1924 Index,924D1716 Index,China,2018
Netherlands Antilles,8.31,0.0,8.19,0.0,0.12,0.0,8.07,353D1924 Index,924D1353 Index,China,2018
Dominica,7.11,0.0,6.99,0.0,0.12,0.0,6.87,321D1924 Index,924D1321 Index,China,2018
European Union,659502.0,14.28,406804.0,15.96,252698.0,12.21,154106.0,998D1924 Index,924D1998 Index,China,2019
United States,575479.0,12.46,452243.0,17.75,123236.0,5.96,329007.0,111D1924 Index,924D1111 Index,China,2019
Japan,340756.0,7.38,169233.0,6.64,171523.0,8.29,-2290.0,158D1924 Index,924D1158 Index,China,2019
South Korea,280744.0,6.08,107191.0,4.21,173553.0,8.39,-66362.0,542D1924 Index,924D1542 Index,China,2019
Hong Kong,273707.65,5.93,264651.0,10.38,9056.65,0.44,255594.35,532D1924 Index,924D1532 Index,China,2019
Germany,191211.8,4.14,86174.8,3.38,105037.0,5.08,-18862.2,134D1924 Index,924D1134 Index,China,2019
Australia,177988.4,3.85,58380.4,2.29,119608.0,5.78,-61227.6,193D1924 Index,924D1193 Index,China,2019
Vietnam,139550.6,3.02,75472.1,2.96,64078.5,3.1,11393.6,582D1924 Index,924D1582 Index,China,2019
Brazil,116589.5,2.53,37385.9,1.47,79203.6,3.83,-41817.7,223D1924 Index,924D1223 Index,China,2019
Russia,114323.6,2.48,54066.4,2.12,60257.2,2.91,-6190.8,922D1924 Index,924D1922 Index,China,2019
Malaysia,114001.9,2.47,42372.0,1.66,71629.9,3.46,-29257.9,548D1924 Index,924D1548 Index,China,2019
Netherlands,110508.5,2.39,99312.8,3.9,11195.7,0.54,88117.1,138D1924 Index,924D1138 Index,China,2019
Mexico,102361.6,2.22,88012.8,3.45,14348.8,0.69,73664.0,273D1924 Index,924D1273 Index,China,2019
Thailand,97000.1,2.1,50865.4,2.0,46134.7,2.23,4730.7,578D1924 Index,924D1578 Index,China,2019
United Kingdom,88680.9,1.92,64853.4,2.54,23827.5,1.15,41025.9,112D1924 Index,924D1112 Index,China,2019
Canada,87827.3,1.9,59794.8,2.35,28032.5,1.35,31762.3,156D1924 Index,924D1156 Index,China,2019
India,86314.7,1.87,68344.6,2.68,17970.1,0.87,50374.5,534D1924 Index,924D1534 Index,China,2019
Singapore,84316.0,1.83,49085.7,1.93,35230.3,1.7,13855.4,576D1924 Index,924D1576 Index,China,2019
Saudi Arabia,79519.2,1.72,25261.9,0.99,54257.3,2.62,-28995.4,456D1924 Index,924D1456 Index,China,2019
Indonesia,78923.4,1.71,44930.6,1.76,33992.8,1.64,10937.8,536D1924 Index,924D1536 Index,China,2019
France,68517.7,1.48,35936.9,1.41,32580.8,1.57,3356.1,132D1924 Index,924D1132 Index,China,2019
Italy,56875.5,1.23,35454.2,1.39,21421.3,1.04,14032.9,136D1924 Index,924D1136 Index,China,2019
United Arab Emirates,55864.7,1.21,40777.7,1.6,15087.0,0.73,25690.7,466D1924 Index,924D1466 Index,China,2019
Philippines,46926.1,1.02,26756.4,1.05,20169.7,0.97,6586.7,566D1924 Index,924D1566 Index,China,2019
South Africa,43198.0,0.94,17266.7,0.68,25931.3,1.25,-8664.6,199D1924 Index,924D1199 Index,China,2019
Chile,42818.3,0.93,16527.0,0.65,26291.3,1.27,-9764.3,228D1924 Index,924D1228 Index,China,2019
Switzerland,42453.0,0.92,15133.3,0.59,27319.7,1.32,-12186.4,146D1924 Index,924D1146 Index,China,2019
Spain,36424.26,0.79,27815.0,1.09,8609.26,0.42,19205.74,184D1924 Index,924D1184 Index,China,2019
Iraq,33848.6,0.73,10042.2,0.39,23806.4,1.15,-13764.2,433D1924 Index,924D1433 Index,China,2019
Poland,26931.31,0.58,22987.5,0.9,3943.81,0.19,19043.69,964D1924 Index,924D1964 Index,China,2019
Peru,26315.6,0.57,11103.2,0.44,15212.4,0.74,-4109.2,293D1924 Index,924D1293 Index,China,2019
Belgium,25733.02,0.56,18863.2,0.74,6869.82,0.33,11993.38,124D1924 Index,924D1124 Index,China,2019
Angola,25338.3,0.55,2030.0,0.08,23308.3,1.13,-21278.3,614D1924 Index,924D1614 Index,China,2019
Turkey,22629.85,0.49,19128.2,0.75,3501.65,0.17,15626.55,186D1924 Index,924D1186 Index,China,2019
Czech Republic,21188.04,0.46,16560.0,0.65,4628.04,0.22,11931.96,935D1924 Index,924D1935 Index,China,2019
New Zealand,21031.37,0.46,8540.37,0.34,12491.0,0.6,-3950.63,196D1924 Index,924D1196 Index,China,2019
Oman,20687.26,0.45,1226.76,0.05,19460.5,0.94,-18233.74,449D1924 Index,924D1449 Index,China,2019
Iran,20239.12,0.44,6837.52,0.27,13401.6,0.65,-6564.08,429D1924 Index,924D1429 Index,China,2019
Sweden,18741.97,0.41,9604.74,0.38,9137.23,0.44,467.51,144D1924 Index,924D1144 Index,China,2019
Ireland,17504.59,0.38,4054.89,0.16,13449.7,0.65,-9394.81,178D1924 Index,924D1178 Index,China,2019
Colombia,17243.43,0.37,10966.8,0.43,6276.63,0.3,4690.17,233D1924 Index,924D1233 Index,China,2019
Argentina,16651.01,0.36,9258.75,0.36,7392.26,0.36,1866.49,213D1924 Index,924D1213 Index,China,2019
Kazakhstan,15825.29,0.34,6566.47,0.26,9258.82,0.45,-2692.35,916D1924 Index,924D1916 Index,China,2019
Kuwait,15388.96,0.33,1972.36,0.08,13416.6,0.65,-11444.24,443D1924 Index,924D1443 Index,China,2019
Bangladesh,14302.24,0.31,13265.8,0.52,1036.44,0.05,12229.36,513D1924 Index,924D1513 Index,China,2019
Pakistan,14188.68,0.31,12380.8,0.49,1807.88,0.09,10572.92,564D1924 Index,924D1564 Index,China,2019
Austria,13901.64,0.3,6278.83,0.25,7622.81,0.37,-1343.98,122D1924 Index,924D1122 Index,China,2019
Ukraine,13699.46,0.3,9195.63,0.36,4503.83,0.22,4691.8,926D1924 Index,924D1926 Index,China,2019
Egypt,13020.42,0.28,12023.6,0.47,996.82,0.05,11026.78,469D1924 Index,924D1469 Index,China,2019
Myanmar,12828.64,0.28,6446.87,0.25,6381.77,0.31,65.1,518D1924 Index,924D1518 Index,China,2019
Norway,12627.04,0.27,8729.14,0.34,3897.9,0.19,4831.24,142D1924 Index,924D1142 Index,China,2019
Nigeria,12584.11,0.27,9931.97,0.39,2652.14,0.13,7279.83,694D1924 Index,924D1694 Index,China,2019
Qatar,12240.15,0.27,3551.36,0.14,8688.79,0.42,-5137.43,453D1924 Index,924D1453 Index,China,2019
Hungary,12143.23,0.26,8395.81,0.33,3747.42,0.18,4648.39,944D1924 Index,924D1944 Index,China,2019
Denmark,11994.74,0.26,7039.33,0.28,4955.41,0.24,2083.92,128D1924 Index,924D1128 Index,China,2019
Israel,11877.52,0.26,6719.9,0.26,5157.62,0.25,1562.28,436D1924 Index,924D1436 Index,China,2019
Slovakia,9210.73,0.2,3243.3,0.13,5967.43,0.29,-2724.13,936D1924 Index,924D1936 Index,China,2019
Turkmenistan,9142.59,0.2,456.89,0.02,8685.7,0.42,-8228.81,925D1924 Index,924D1925 Index,China,2019
Cambodia,9029.67,0.2,7585.75,0.3,1443.92,0.07,6141.83,522D1924 Index,924D1522 Index,China,2019
Mongolia,8303.4,0.18,2036.81,0.08,6266.59,0.3,-4229.78,948D1924 Index,924D1948 Index,China,2019
Algeria,8242.71,0.18,7101.05,0.28,1141.66,0.06,5959.39,612D1924 Index,924D1612 Index,China,2019
Romania,7402.59,0.16,5078.85,0.2,2323.74,0.11,2755.11,968D1924 Index,924D1968 Index,China,2019
Ecuador,7329.01,0.16,3724.01,0.15,3605.0,0.17,119.01,248D1924 Index,924D1248 Index,China,2019
Uzbekistan,7232.91,0.16,5052.28,0.2,2180.63,0.11,2871.65,927D1924 Index,924D1927 Index,China,2019
Finland,7206.82,0.16,2576.14,0.1,4630.68,0.22,-2054.54,172D1924 Index,924D1172 Index,China,2019
Libya,7195.31,0.16,2429.64,0.1,4765.67,0.23,-2336.03,672D1924 Index,924D1672 Index,China,2019
Venezuela,6572.51,0.14,1784.14,0.07,4788.37,0.23,-3004.23,299D1924 Index,924D1299 Index,China,2019
"Congo, Democratic Republic",6535.48,0.14,2098.87,0.08,4436.61,0.21,-2337.74,636D1924 Index,924D1636 Index,China,2019
Congo,6190.77,0.13,256.3,0.01,5934.47,0.29,-5678.17,634D1924 Index,924D1634 Index,China,2019
Morocco,5775.94,0.13,5140.43,0.2,635.51,0.03,4504.92,686D1924 Index,924D1686 Index,China,2019
Portugal,5624.35,0.12,3306.46,0.13,2317.89,0.11,988.57,182D1924 Index,924D1182 Index,China,2019
Greece,5271.87,0.11,4545.66,0.18,726.21,0.04,3819.45,174D1924 Index,924D1174 Index,China,2019
Gabon,4910.47,0.11,297.96,0.01,4612.51,0.22,-4314.55,646D1924 Index,924D1646 Index,China,2019
Belarus,4722.22,0.1,3807.59,0.15,914.63,0.04,2892.96,913D1924 Index,924D1913 Index,China,2019
Uruguay,4447.47,0.1,1479.3,0.06,2968.17,0.14,-1488.87,298D1924 Index,924D1298 Index,China,2019
Ghana,4439.83,0.1,1895.91,0.07,2543.92,0.12,-648.01,652D1924 Index,924D1652 Index,China,2019
Sri Lanka,4429.4,0.1,4032.82,0.16,396.58,0.02,3636.24,524D1924 Index,924D1524 Index,China,2019
Ethiopia,4416.11,0.1,4072.2,0.16,343.91,0.02,3728.29,644D1924 Index,924D1644 Index,China,2019
Zambia,4319.36,0.09,1020.9,0.04,3298.46,0.16,-2277.56,754D1924 Index,924D1754 Index,China,2019
Paraguay,4255.01,0.09,4238.44,0.17,16.57,0.0,4221.87,288D1924 Index,924D1288 Index,China,2019
Dominican Republic,4129.92,0.09,3658.36,0.14,471.56,0.02,3186.8,243D1924 Index,924D1243 Index,China,2019
Laos,4054.77,0.09,1895.2,0.07,2159.57,0.1,-264.37,544D1924 Index,924D1544 Index,China,2019
Papua New Guinea,3965.98,0.09,901.05,0.04,3064.93,0.15,-2163.88,853D1924 Index,924D1853 Index,China,2019
Macau,3919.05,0.08,3852.21,0.15,66.84,0.0,3785.37,546D1924 Index,924D1546 Index,China,2019
Kenya,3771.57,0.08,3590.36,0.14,181.21,0.01,3409.15,664D1924 Index,924D1664 Index,China,2019
Jordan,3519.94,0.08,3086.74,0.12,433.2,0.02,2653.54,439D1924 Index,924D1439 Index,China,2019
Guinea,3153.83,0.07,648.97,0.03,2504.86,0.12,-1855.89,656D1924 Index,924D1656 Index,China,2019
North Korea,2959.74,0.06,2744.22,0.11,215.52,0.01,2528.7,954D1924 Index,924D1954 Index,China,2019
Serbia,2869.7,0.06,2506.95,0.1,362.75,0.02,2144.21,942D1924 Index,924D1942 Index,China,2019
Bulgaria,2867.14,0.06,1703.91,0.07,1163.23,0.06,540.68,918D1924 Index,924D1918 Index,China,2019
Costa Rica,2842.44,0.06,2122.02,0.08,720.42,0.03,1401.6,238D1924 Index,924D1238 Index,China,2019
Slovenia,2774.35,0.06,2257.89,0.09,516.46,0.02,1741.43,961D1924 Index,924D1961 Index,China,2019
Bolivia,2450.6,0.05,2126.48,0.08,324.12,0.02,1802.36,218D1924 Index,924D1218 Index,China,2019
Guatemala,2421.54,0.05,2228.52,0.09,193.02,0.01,2035.5,258D1924 Index,924D1258 Index,China,2019
Tanzania,2354.0,0.05,1987.66,0.08,366.34,0.02,1621.32,738D1924 Index,924D1738 Index,China,2019
Azerbaijan,2291.75,0.05,1431.59,0.06,860.16,0.04,571.43,912D1924 Index,924D1912 Index,China,2019
Cote D Ivoire,2262.74,0.05,1801.98,0.07,460.76,0.02,1341.22,662D1924 Index,924D1662 Index,China,2019
Bahrain,2261.13,0.05,2065.48,0.08,195.65,0.01,1869.83,419D1924 Index,924D1419 Index,China,2019
Tunisia,2250.23,0.05,2041.46,0.08,208.77,0.01,1832.69,744D1924 Index,924D1744 Index,China,2019
Cameroon,2121.92,0.05,1106.88,0.04,1015.04,0.05,91.84,622D1924 Index,924D1622 Index,China,2019
Luxembourg,2074.97,0.04,1714.46,0.07,360.51,0.02,1353.95,137D1924 Index,924D1137 Index,China,2019
Nepal,1973.41,0.04,1939.89,0.08,33.52,0.0,1906.37,558D1924 Index,924D1558 Index,China,2019
Equatorial Guinea,1843.11,0.04,120.1,0.0,1723.01,0.08,-1602.92,642D1924 Index,924D1642 Index,China,2019
El Salvador,1837.04,0.04,1723.77,0.07,113.27,0.01,1610.5,253D1924 Index,924D1253 Index,China,2019
Kyrgyzstan,1800.93,0.04,1734.97,0.07,65.96,0.0,1669.01,917D1924 Index,924D1917 Index,China,2019
Panama,1734.0,0.04,1290.07,0.05,443.93,0.02,846.14,283D1924 Index,924D1283 Index,China,2019
Lebanon,1667.39,0.04,1641.4,0.06,25.99,0.0,1615.41,446D1924 Index,924D1446 Index,China,2019
Mozambique,1573.23,0.03,861.52,0.03,711.72,0.03,149.8,688D1924 Index,924D1688 Index,China,2019
Cuba,1513.14,0.03,1021.2,0.04,491.94,0.02,529.26,928D1924 Index,924D1928 Index,China,2019
Honduras,1507.59,0.03,1475.81,0.06,31.78,0.0,1444.03,268D1924 Index,924D1268 Index,China,2019
Lithuania,1476.69,0.03,1039.9,0.04,436.79,0.02,603.11,946D1924 Index,924D1946 Index,China,2019
Peoples Democratic Republic of Yemen,1353.73,0.03,489.29,0.02,864.44,0.04,-375.15,474D1924 Index,924D1474 Index,China,2019
New Caledonia,1337.55,0.03,296.86,0.01,1040.69,0.05,-743.83,839D1924 Index,924D1839 Index,China,2019
Uganda,1297.99,0.03,1255.71,0.05,42.28,0.0,1213.43,746D1924 Index,924D1746 Index,China,2019
Mauritania,1293.74,0.03,377.89,0.01,915.86,0.04,-537.97,682D1924 Index,924D1682 Index,China,2019
Armenia,1290.1,0.03,751.16,0.03,538.93,0.03,212.23,911D1924 Index,924D1911 Index,China,2019
Afghanistan,1185.98,0.03,1156.69,0.05,29.29,0.0,1127.4,512D1924 Index,924D1512 Index,China,2019
Senegal,1171.62,0.03,870.64,0.03,300.98,0.01,569.66,722D1924 Index,924D1722 Index,China,2019
Brunei Darussalam,1123.29,0.02,671.93,0.03,451.36,0.02,220.57,516D1924 Index,924D1516 Index,China,2019
Zimbabwe,1093.42,0.02,119.4,0.0,974.03,0.05,-854.63,698D1924 Index,924D1698 Index,China,2019
Estonia,1028.43,0.02,729.02,0.03,299.41,0.01,429.6,939D1924 Index,924D1939 Index,China,2019
Madagascar,986.29,0.02,781.73,0.03,204.56,0.01,577.18,674D1924 Index,924D1674 Index,China,2019
Mauritius,977.75,0.02,938.88,0.04,38.86,0.0,900.02,684D1924 Index,924D1684 Index,China,2019
Croatia,959.35,0.02,813.96,0.03,145.39,0.01,668.58,960D1924 Index,924D1960 Index,China,2019
Mali,956.55,0.02,795.91,0.03,160.64,0.01,635.26,678D1924 Index,924D1678 Index,China,2019
Georgia,939.76,0.02,858.66,0.03,81.09,0.0,777.57,915D1924 Index,924D1915 Index,China,2019
Bosnia and Herzegovina,902.19,0.02,825.15,0.03,77.04,0.0,748.11,963D1924 Index,924D1963 Index,China,2019
Somalia,794.62,0.02,775.98,0.03,18.64,0.0,757.34,726D1924 Index,924D1726 Index,China,2019
Niger,788.73,0.02,564.86,0.02,223.87,0.01,341.0,692D1924 Index,924D1692 Index,China,2019
Latvia,767.3,0.02,571.65,0.02,195.65,0.01,376.0,941D1924 Index,924D1941 Index,China,2019
Chad,735.32,0.02,295.5,0.01,439.83,0.02,-144.33,628D1924 Index,924D1628 Index,China,2019
Albania,700.75,0.02,596.96,0.02,103.78,0.01,493.18,914D1924 Index,924D1914 Index,China,2019
Macedonia,693.43,0.02,544.72,0.02,148.71,0.01,396.02,962D1924 Index,924D1962 Index,China,2019
Tajikistan,689.96,0.01,605.47,0.02,84.49,0.0,520.98,923D1924 Index,924D1923 Index,China,2019
Liberia,688.13,0.01,575.71,0.02,112.42,0.01,463.29,668D1924 Index,924D1668 Index,China,2019
Rwanda,670.41,0.01,635.35,0.02,35.06,0.0,600.29,714D1924 Index,924D1714 Index,China,2019
Moldova,649.02,0.01,602.29,0.02,46.73,0.0,555.57,921D1924 Index,924D1921 Index,China,2019
Malta,644.38,0.01,285.8,0.01,358.58,0.02,-72.78,181D1924 Index,924D1181 Index,China,2019
Iceland,626.18,0.01,483.55,0.02,142.63,0.01,340.92,176D1924 Index,924D1176 Index,China,2019
Nicaragua,619.54,0.01,573.99,0.02,45.55,0.0,528.44,278D1924 Index,924D1278 Index,China,2019
Syria,581.1,0.01,579.7,0.02,1.4,0.0,578.3,463D1924 Index,924D1463 Index,China,2019
Solomon Islands,572.48,0.01,110.75,0.0,461.73,0.02,-350.98,813D1924 Index,924D1813 Index,China,2019
Malawi,556.92,0.01,541.21,0.02,15.71,0.0,525.5,676D1924 Index,924D1676 Index,China,2019
Togo,547.55,0.01,367.12,0.01,180.43,0.01,186.69,742D1924 Index,924D1742 Index,China,2019
Haiti,530.48,0.01,525.99,0.02,4.49,0.0,521.5,263D1924 Index,924D1263 Index,China,2019
Jamaica,521.06,0.01,491.8,0.02,29.26,0.0,462.55,343D1924 Index,924D1343 Index,China,2019
Cyprus,516.25,0.01,458.64,0.02,57.61,0.0,401.03,423D1924 Index,924D1423 Index,China,2019
Maldives,503.13,0.01,469.42,0.02,33.72,0.0,435.7,556D1924 Index,924D1556 Index,China,2019
Benin,475.59,0.01,321.23,0.01,154.36,0.01,166.88,638D1924 Index,924D1638 Index,China,2019
Sierra Leone,422.23,0.01,224.78,0.01,197.46,0.01,27.32,724D1924 Index,924D1724 Index,China,2019
Fiji,362.87,0.01,348.46,0.01,14.4,0.0,334.06,819D1924 Index,924D1819 Index,China,2019
Montenegro,291.29,0.01,247.99,0.01,43.3,0.0,204.68,943D1924 Index,924D1943 Index,China,2019
Faeroe Islands,287.44,0.01,131.84,0.01,155.6,0.01,-23.76,816D1924 Index,924D1816 Index,China,2019
Greenland,276.83,0.01,3.12,0.0,273.71,0.01,-270.6,326D1924 Index,924D1326 Index,China,2019
Guyana,263.79,0.01,217.8,0.01,45.99,0.0,171.82,336D1924 Index,924D1336 Index,China,2019
Suriname,198.94,0.0,145.43,0.01,53.51,0.0,91.91,366D1924 Index,924D1366 Index,China,2019
Bahamas,176.13,0.0,97.54,0.0,78.59,0.0,18.95,313D1924 Index,924D1313 Index,China,2019
Djibouti,175.36,0.0,155.22,0.01,20.14,0.0,135.08,611D1924 Index,924D1611 Index,China,2019
Burundi,149.16,0.0,136.22,0.01,12.94,0.0,123.27,618D1924 Index,924D1618 Index,China,2019
Belize,134.22,0.0,134.07,0.01,0.15,0.0,133.92,339D1924 Index,924D1339 Index,China,2019
Gambia,123.78,0.0,52.34,0.0,71.44,0.0,-19.1,648D1924 Index,924D1648 Index,China,2019
Barbados,112.36,0.0,92.1,0.0,20.26,0.0,71.83,316D1924 Index,924D1316 Index,China,2019
Central African Rep.,98.36,0.0,62.16,0.0,36.2,0.0,25.96,626D1924 Index,924D1626 Index,China,2019
Seychelles,67.41,0.0,67.34,0.0,0.07,0.0,67.27,718D1924 Index,924D1718 Index,China,2019
